
Código do anúncio;SKU;Variación ID;Domínio;Categoria;Título;Código universal de produto;Nome do artista;Nome do álbum;Formato;Formato do álbum;Com faixas adicionais;Ano de lançamento;Quantidade de canções;Gênero;Origem;Quantidade de álbuns;
MLB1607117278;;;MLB-MOVIES;MLB1169; Dvd Minority Report - A Nova Lei;;DVD Minority Report - A Nova Lei;DVD Minority Report - A Nova Lei;WIDESCREEN;NTSC;1;Português,Espanhol,Inglês;Ação;20 CENTURY FOX;Físico;
MLB1673060992;;;MLB-MOVIES;MLB1169;Dvd Donna Summer - Edição Especial;;DVD Donna Summer - Edição Especial;DVD Donna Summer - Edição Especial;DVD;NTSC;1;Inglês;Musical;Cooperdisc;Físico;
MLB1576322189;;;MLB-MOVIES;MLB1169; Dvd Arquivo X O Filme;;DVD Arquivo X O Filme;DVD Arquivo X O Filme;Widescreen;NTSC;1;Inglês,Português,Espanhol;Ficção;20 Century Fox;Físico;
MLB1591617861;;;MLB-MOVIES;MLB1169; Dvd O Invasor De Beto Brant;;DVD O Invasor de Beto Brant;DVD O Invasor de Beto Brant;Widescreen;NTSC;1;Português;Ação;Europa Filmes;Físico;
MLB1604754523;;;MLB-MOVIES;MLB1169; Dvd - Alvin E Os Esquilos: Na Estrada;;DVD - Alvin e Os Esquilos: Na Estrada;DVD - Alvin e Os Esquilos: Na Estrada;WIDESCREEN;NTSC;1;Português,Inglês,Espanhol;Infantil;20 CENTURY FOX;Físico;
MLB1643180250;;;MLB-MOVIES;MLB1169;Blu-ray - O Bicho Vai Pegar 3;;Blu-Ray - O Bicho Vai Pegar 3;Blu-Ray - O Bicho Vai Pegar 3;Widescreen;1080p;1;Inglês,Português,Francês;Animação;Sony Pictures;Físico;
MLB1575145172;;;MLB-MOVIES;MLB1169; Dvd King Kong (duplo) 2 Discos Edição Limitada;;DVD King Kong (Duplo) 2 Discos Edição Limitada;DVD King Kong (Duplo) 2 Discos Edição Limitada;Widescreen Anamorfico;NTSC;2;Inglês,Português;Aventura;Universal;Físico;
MLB1599727288;;;MLB-MOVIES;MLB1169; Dvd - Santa Buddies Uma Aventura No Natal;;Dvd - Santa Buddies Uma Aventura No Natal;Dvd - Santa Buddies Uma Aventura No Natal;Widescreen;NTSC;1;Português,Inglês,Espanhol;Infantil;Disney;Físico;
MLB1597287819;;;MLB-MOVIES;MLB1169; Blu-ray Outback - Uma Galera Animal 3d + 2d;;Blu-ray Outback - Uma Galera Animal 3D + 2D;Blu-ray Outback - Uma Galera Animal 3D + 2D;Widescreen;NTSC;1;Inglês,Português;Infantil;Playarte;Físico;
MLB1607287018;;;MLB-MOVIES;MLB1169;Dvd 11/9 Onze De Setembro - Edição Dos Cinegrafistas;7896012216040;DVD 11/9 ONZE DE SETEMBRO - EDIÇÃO DOS CINEGRAFISTAS;DVD 11/9 ONZE DE SETEMBRO - EDIÇÃO DOS CINEGRAFISTAS;WIDESCREEN;NTSC;1;Inglês,Português;DOCUMENTÁRIO;Paramount;Físico;
MLB1575442133;;;MLB-MOVIES;MLB1169;Dvd - O Pequeno Buda;;DVD - O Pequeno Buda;DVD - O Pequeno Buda;Letterbox;NTSC;1;Inglês;Drama;Spectra Nova;Físico;
MLB1575426899;;;MLB-MOVIES;MLB1169; Dvd Quarteto Fantástico (duplo);;DVD Quarteto Fantástico (Duplo);DVD Quarteto Fantástico (Duplo);Widescreen;NTSC;1;Inglês,Espanhol,Português;Aventura;Marvel;Físico;
MLB1591603058;;;MLB-MOVIES;MLB1169; Dvd Controle Absoluto, Shia Labeouf, Ação, Original;;Dvd Controle Absoluto, Shia Labeouf, Ação, Original;Dvd Controle Absoluto, Shia Labeouf, Ação, Original;Widescreen;NTSC;1;Inglês,Português;Suspense;DreamWorks;Físico;
MLB1604767787;;;MLB-MOVIES;MLB1169; Dvd King Kong;;DVD King Kong;DVD King Kong;WIDESCREEN;NTSC;1;Inglês,Português;Aventura;UNIVERSAL;Físico;
MLB1607021943;;;MLB-MOVIES;MLB1169;Dvd Treasure Buddies - Caça Ao Tesouro;;DVD Treasure Buddies - Caça ao Tesouro;DVD Treasure Buddies - Caça ao Tesouro;WIDESCREEN;NTSC;1;Português,Espanhol,Inglês;Infantil;Disney;Físico;
MLB1574677255;;;MLB-MOVIES;MLB1169; Dvd Coleção Battlefield 1: Batalha Da França;;DVD Coleção Battlefield 1: Batalha da França;DVD Coleção Battlefield 1: Batalha da França;DVD;Full Screem;1;Inglês;Documentário;Abril Coleções;Físico;
MLB1703137412;;;MLB-MOVIES;MLB1169;Dvd Sempre Ao Seu Lado;;Sempre ao Seu Lado;Richard Gere;DVD;1080p;1;Português,Inglês;Drama;Imagem Filmes;Físico;
MLB1601388876;;;MLB-MOVIES;MLB1169; Dvd Snow Buddies - Uma Aventura No Gelo;;DVD Snow Buddies - Uma Aventura no Gelo;DVD Snow Buddies - Uma Aventura no Gelo;widescreen;ntsc;1;Inglês,Português,Espanhol;Infantil;Disney;Físico;
MLB1673583804;;;MLB-MOVIES;MLB1169;Dvd O Combate - Lágrimas Do Guerreiro;;DVD O Combate - Lágrimas do Guerreiro;DVD O Combate - Lágrimas do Guerreiro;DVD;Fullscreen;1;Português,Inglês;Aventura;;Físico;
MLB1591607983;;;MLB-MOVIES;MLB1169;Dvd  O Poderoso Chefao - Parte 2 - Paramount Collection;;O Poderoso Chefao - Parte 2 - Paramount Collection;O Poderoso Chefao - Parte 2 - Paramount Collection;Widescreen;NTSC;2;Inglês;Ação;Paramount;Físico;
MLB1591602556;;;MLB-MOVIES;MLB1169;Dvd Confissões De Uma Mente Perigosa;;DVD Confissões de Uma Mente Perigosa;DVD Confissões de Uma Mente Perigosa;Widescreen;NTSC;1;Inglês,Português;Ação;Imagem Filmes;Físico;
MLB1607173261;;;MLB-MOVIES;MLB1169;Dvd Tigrão E Pooh - Assombração Do Bosque Dos Cem Acres;;DVD Tigrão e Pooh - Assombração do Bosque dos Cem Acres;DVD Tigrão e Pooh - Assombração do Bosque dos Cem Acres;WIDESCREEN;NTSC;1;Português,Inglês,Espanhol;Infantil;Disney;Físico;
MLB1674077496;;;MLB-MOVIES;MLB1169;Dvd Buena Vista Social Club;;DVD BUENA VISTA SOCIAL CLUB;DVD BUENA VISTA SOCIAL CLUB;DVD;FULLSCREEN;1;Espanhol;BIOGRAFIA;SPECTRA;Físico;
MLB1674100706;;;MLB-MOVIES;MLB1169; Dvd Flashdance - Jennifer Beals;;DVD FLASHDANCE - JENNIFER BEALS;DVD FLASHDANCE - JENNIFER BEALS;DVD;WIDESCREEN ANAMORFICO;1;Inglês;Drama;Paramount;Físico;
MLB1599416552;;;MLB-MOVIES;MLB1169; Blu-ray Cela 211;;Blu-Ray Cela 211;Blu-Ray Cela 211;Widescreen;NTSC;1;Espanhol,Português;Ação;California Filmes;Físico;
MLB1607080856;;;MLB-MOVIES;MLB1169;Dvd Coach Carter - Treino Para A Vida - Saumuel L. Jackson;;DVD Coach Carter - Treino para a Vida - Saumuel L. Jackson;DVD Coach Carter - Treino para a Vida - Saumuel L. Jackson;WIDESCREEN;NTSC;1;Inglês,Português,Espanhol;Drama;Paramount;Físico;
MLB1597103622;;;MLB-MOVIES;MLB1169;Blu-ray Amanhecer (parte 1);;Blu-ray Amanhecer (Parte 1);Blu-ray Amanhecer (Parte 1);Letterbox;NTSC;1;Inglês,Português;Romance;Paris Filmes;Físico;
MLB1591409350;;;MLB-MOVIES;MLB1169;Dvd Todo Poderoso - Jim Carrey;;DVD Todo Poderoso - Jim Carrey;DVD Todo Poderoso - Jim Carrey;Widescreen;NTSC;1;Inglês,Português,Espanhol;Comédia;Warner;Físico;
MLB1607051699;;;MLB-MOVIES;MLB1169; Dvd Onze Homens E Um Segredo (1960);;DVD Onze Homens e Um Segredo (1960);DVD Onze Homens e Um Segredo (1960);LETTERBOX - WIDESCREEN;NTSC;1;Inglês;Ação;Warner;Físico;
MLB1574693970;;;MLB-MOVIES;MLB1169;Dvd Os Reis De Dogtown - Edição Estendida Sem Censura;;Dvd Os Reis de Dogtown - Edição Estendida Sem Censura;Dvd Os Reis de Dogtown - Edição Estendida Sem Censura;Dolbly;NTSC;1;Português;Aventura;Columbia Pictures;Físico;
MLB1607194448;;;MLB-MOVIES;MLB1169; Dvd Duplex Farinelli Sedução Diabólica;;Dvd Duplex Farinelli Sedução Diabólica;Dvd Duplex Farinelli Sedução Diabólica;FULLFRAME;NTSC;1;ITALIANO,Inglês;DRAMA - SUSPENSE;SPECTRA NOVA;Físico;
MLB1597059470;;;MLB-MOVIES;MLB1169;Blu-ray Tinha Que Ser Você;;Blu-Ray Tinha Que Ser Você;Blu-Ray Tinha Que Ser Você;Widescreen Anamórfico;NTSC;1;Inglês,Português;Romance;Imagem Filmes;Físico;
MLB1604787517;;;MLB-MOVIES;MLB1169; Dvd Kill Bill - O Som Vibrante Da Vingança - Volume 1;;DVD Kill Bill - O Som Vibrante Da Vingança - Volume 1;DVD Kill Bill - O Som Vibrante Da Vingança - Volume 1;FULL SCREEN;NTSC;1;Inglês,Português;Ação;IMAGEM FILMES;Físico;
MLB1643134531;;;MLB-MOVIES;MLB1169;Blu-ray Shrek Terceiro;;Blu-Ray Shrek Terceiro;Blu-Ray Shrek Terceiro;Widescreen;;1;Inglês,Português,Espanhol,Francês;Infantil;DreamWorks;Físico;
MLB1591603425;;;MLB-MOVIES;MLB1169;Dvd Star Wars - Episódio 2 - Ataque Dos Clones (dvd Duplo);;Star Wars - Episódio 2 - Ataque dos Clones (DVD DUPLO);Star Wars - Episódio 2 - Ataque dos Clones (DVD DUPLO);Widerscreen;NTSC;2;Inglês,Espanhol,Português;Aventura;20Century Fox;Físico;
MLB1575176486;;;MLB-MOVIES;MLB1169;Dvd Árido Movie;;Dvd ÁRIDO MOVIE;Dvd ÁRIDO MOVIE;Widescreen;NTSC;1;Português;Ação;Europa Filmes;Físico;
MLB1601087564;;;MLB-MOVIES;MLB1169; Dvd - O Senhor Dos Anéis: As Duas Torres;;DVD - O Senhor dos Anéis: As Duas Torres;DVD - O Senhor dos Anéis: As Duas Torres;Widescreen;NTSC;1;Inglês,Português,Espanhol;Ficção;Warner;Físico;
MLB1604778559;;;MLB-MOVIES;MLB1169;Dvd Taxi Driver - Edição De Colecionador;;DVD Taxi Driver - Edição de Colecionador;DVD Taxi Driver - Edição de Colecionador;widescreen;ntsc;1;Inglês;Ação;COLUMBIA;Físico;
MLB1604762232;;;MLB-MOVIES;MLB1169;Dvd O Senhor Dos Anéis - A Sociedade Do Anel;;DVD O Senhor dos Anéis - A Sociedade do Anel;DVD O Senhor dos Anéis - A Sociedade do Anel;WIDESCREEN;NTSC;1;Português,Espanhol,Inglês;Ação;Warner;Físico;
MLB1674093107;;;MLB-MOVIES;MLB1169; Dvd Lula - O Filho Do Brasil;;DVD LULA - O FILHO DO BRASIL;DVD LULA - O FILHO DO BRASIL;DVD;WIDESCREEN ANAMORFICO;1;Português;BIOGRAFIA;EUROPA FILMES;Físico;
MLB1591440272;;;MLB-MOVIES;MLB1169; Dvd Táxi Driver - Robert De Niro - Edição De Colecionador;;Dvd Táxi Driver - Robert De Niro - Edição De Colecionador;Dvd Táxi Driver - Robert De Niro - Edição De Colecionador;Widescreen;NTSC;1;Português;Ação;Columbia;Físico;
MLB1599461640;;;MLB-MOVIES;MLB1169; Blu-ray - Amanhecer - Parte 2;;Blu-Ray - Amanhecer - Parte 2;Blu-Ray - Amanhecer - Parte 2;Letterbox;NTSC;1;Inglês,Português;Romance;Paris Filmes;Físico;
MLB1604744192;;;MLB-MOVIES;MLB1169; Dvd Shrek Para Sempre - O Capitulo Final;;DVD Shrek para Sempre - O CAPITULO FINAL;DVD Shrek para Sempre - O CAPITULO FINAL;WIDESCREEN;NTSC;1;Inglês,Português;Infantil;DreamWorks;Físico;
MLB1599719055;;;MLB-MOVIES;MLB1169; Monstros Vs Alienígenas Volume 1 - Dvd Infantil;;Monstros Vs Alienígenas Volume 1 - Dvd Infantil;Monstros Vs Alienígenas Volume 1 - Dvd Infantil;Widescreen;NTSC;1;Português,Espanhol,Inglês;;;Físico;
MLB1643218296;;;MLB-MOVIES;MLB1169; Blu-ray Código De Honra;;Blu-Ray Código de Honra;Blu-Ray Código de Honra;Blu-ray;1080p;1;Inglês,Português;Drama;Focus Filmes;Físico;
MLB1577447172;;;MLB-MOVIES;MLB1169; Dvd Operação França;;DVD Operação França;DVD Operação França;Widescreen;NTSC;1;Português,Inglês,Espanhol;Policial;20 Century Fox;Físico;
MLB1674067776;;;MLB-MOVIES;MLB1169;Dvd A Noviça Rebelde;;DVD A NOVIÇA REBELDE;DVD A NOVIÇA REBELDE;DVD;WIDESCREEN ANAMORFICO;1;Inglês,Espanhol;Musical;20th Century Fox;Físico;
MLB1599387985;;;MLB-MOVIES;MLB1169; Blu-ray 3d Pequenos Espiões 4 - Participe Dessa Aventura;;Blu-Ray 3D Pequenos Espiões 4 - Participe Dessa Aventura;Blu-Ray 3D Pequenos Espiões 4 - Participe Dessa Aventura;Widescreen;NTSC;1;Português,Inglês;Infantil;Imagem Filmes;Físico;
MLB1599641003;;;MLB-MOVIES;MLB1169; Dvd Duplo - A Bela Adormecida: Ed. Platinum - 50º Aniversár;;DVD Duplo - A Bela Adormecida: Ed. Platinum - 50º Aniversário;DVD Duplo - A Bela Adormecida: Ed. Platinum - 50º Aniversário;Widescreen;NTSC;2;Inglês,Português,Espanhol;Infantil;Disney;Físico;
MLB1599719710;;;MLB-MOVIES;MLB1169; Dvd - Rocky Balboa;;DVD - Rocky Balboa;DVD - Rocky Balboa;Widescreen Anamórfico;NTSC;1;Inglês,Espanhol,Português;Drama;20 Century Fox;Físico;
MLB1576345219;;;MLB-MOVIES;MLB1169; Dvd - O 4º Anjo - Jeremy Irons - Forest Whitaker;;Dvd - O 4º Anjo - Jeremy Irons - Forest Whitaker;Dvd - O 4º Anjo - Jeremy Irons - Forest Whitaker;widescreen;NTSC;1;Português,Inglês;Ação;Europa Filmes;Físico;
MLB1604800447;;;MLB-MOVIES;MLB1169;Dvd Ali G Indahouse;;DVD Ali G Indahouse;DVD Ali G Indahouse;WIDESCREEN;NTSC;1;Inglês;Comédia;UNIVERSAL;Físico;
MLB1598217132;;;MLB-MOVIES;MLB1169;Blu Ray - Ela Dança, Eu Danço 3;;Blu Ray - Ela Dança, Eu Danço 3;Blu Ray - Ela Dança, Eu Danço 3;Wiescreen Anamórfico;NTSC;1;Português,Inglês,Espanhol;Romance;Touchstone;Físico;
MLB1599754625;;;MLB-MOVIES;MLB1169;Dvd - Um Time Show De Bola;;DVD - Um Time Show De Bola;DVD - Um Time Show De Bola;Widescreen;NTSC;1;Português,Espanhol;Infantil;Universal;Físico;
MLB1575113343;;;MLB-MOVIES;MLB1169;Dvd Dogtown And Z-boys - Onde Tudo Começou;;DVD DOGTOWN AND Z-BOYS - ONDE TUDO COMEÇOU;DVD DOGTOWN AND Z-BOYS - ONDE TUDO COMEÇOU;DVD;Full Screem;1;Português;Aventura;Imagem Filmes;Físico;
MLB1604760965;;;MLB-MOVIES;MLB1169; Dvd Donkey Xote;;DVD DONKEY XOTE;DVD DONKEY XOTE;WIDESCREEN;NTSC;1;Português,Inglês;Infantil;SWEN FILMES;Físico;
MLB1604750225;;;MLB-MOVIES;MLB1169; Dvd Os Segredos Dos Cinco Furiosos;;DVD Os Segredos dos Cinco Furiosos;DVD Os Segredos dos Cinco Furiosos;WIDESCREEN;NTSC;1;Inglês,Português;Infantil;DreamWorks;Físico;
MLB1607064017;;;MLB-MOVIES;MLB1169;Dvd A Lista De Schindler (duplo);;DVD A Lista de Schindler (Duplo);DVD A Lista de Schindler (Duplo);WIDESCREEN ANAMÓRFICO;NTSC;2;Inglês,Português;Drama;UNIVERSAL;Físico;
MLB1604375353;;;MLB-MOVIES;MLB1169; Dvd A Era Do Gelo 3 - 3d;;DVD A Era do Gelo 3 - 3D;DVD A Era do Gelo 3 - 3D;WIDESCREEN;NTSC;1;Inglês,Português,Espanhol;Infantil;20 CENTURY FOX;Físico;
MLB1601154239;;;MLB-MOVIES;MLB1169;Dvd - Tinkerbell E O Monstro Da Terra Do Nunca;;DVD - Tinkerbell e o Monstro da Terra do Nunca;DVD - Tinkerbell e o Monstro da Terra do Nunca;Widescreen;NTSC;1;Português,Inglês;Infantil;Disney;Físico;
MLB1590343981;;;MLB-MOVIES;MLB1169;Dvd Rocky Um Lutador - Edição Definitiva Disco Duplo;;DVD Rocky Um Lutador - Edição Definitiva DVD Duplo;DVD Rocky Um Lutador - Edição Definitiva DVD Duplo;Widescreen;NTSC;2;Inglês,Espanhol,Português;Ação;Fox;Físico;

Código do anúncio;SKU;Variación ID;Domínio;Categoria;Título;Código universal de produto;Nome;Director do seriado;Temporadas;Formato do seriado;Formato;Gênero;Idiomas de legendas;Idiomas de áudio;Inclui extras;Quantidade de episodios;Quantidade de discos;
MLB1599615256;;;MLB-TV_SERIES;MLB6217; Dvd Homeland - Segurança Nacional 2ª Temporada (4 Discos);;DVD Homeland - Segurança Nacional 2ª Temporada (4 discos);DVD Homeland - Segurança Nacional 2ª Temporada (4 discos);Temporada 2;Widescreen Anamórfico;Físico;Drama;Português,Espanhol,Inglês;Português,Espanhol,Inglês;Sim;;4;
MLB1590938723;;;MLB-TV_SERIES;MLB6217; Dvd Life - A 1ª Temporada 4 Dvds;;Dvd Life - A 1ª Temporada 4 DVDs;Dvd Life - A 1ª Temporada 4 DVDs;Temporada 1;Widescreen;Físico;Policial;Inglês,Português;Português;Não;;4;
MLB1599595724;;;MLB-TV_SERIES;MLB6217;Dvd Homeland - Segurança Nacional 1ª Temporada (4 Discos);;DVD Homeland - Segurança Nacional 1ª Temporada (4 discos);DVD Homeland - Segurança Nacional 1ª Temporada (4 discos);Temporada 1;NTSC;Físico;Drama;Português,Inglês,Espanhol;Português,Inglês,Espanhol;Sim;;4;
MLB1599586446;;;MLB-TV_SERIES;MLB6217;Box Person Of Interest: 1ª Temporada Completa (6 Dvds);;Box Person Of Interest: 1ª Temporada Completa (6 DVDs);Box Person Of Interest: 1ª Temporada Completa (6 DVDs);1;NTSC;Físico;Ação;Inglês,Português,Espanhol;Inglês,Português;Sim;23;6;
MLB1576261341;;;MLB-TV_SERIES;MLB6217; Seriado Life 2 Temporada Completa - 4 Dvd-s;;Seriado Life 2 Temporada Completa - 4 Dvd-s;Seriado Life 2 Temporada Completa - 4 Dvd-s;Temporada 2;Widescreen;Físico;Policial;Inglês,Português;Inglês;Não;;4;

Código do anúncio;SKU;Variación ID;Domínio;Categoria;Título;Código universal de produto;Nome do artista;Nome do disco;Quantidade de canções;Formato do disco;Unidades por embalagem;
MLB1566760644;;;MLB-ANTIQUE_RECORDS;MLB270516; Box Vinil Mozart 1756-1791 - 10 Discos;;Wolfgang Amadeus Mozart;Box 10 Discos 1756-1791;50;Vinil;1;

Código do anúncio;SKU;Variación ID;Domínio;Categoria;Título;Código universal de produto;Nome do filme;Formato;Formato do filme;Línguas;Legendas;Duração;Unidade de Duração;Gênero do filme;
MLB1574688905;;;MLB-EROTIC_MOVIES;MLB278203;Dvd Gatinhas X Garanhões - Planet Sex - Filme Adulto;;DVD Gatinhas x Garanhões - Planet Sex - Filme Adulto;;DVD;;;;;Pornô;

Código do anúncio;SKU;Variación ID;Domínio;Categoria;Título;Código universal de produto;Título;Formato;Ano de lançamento;
MLB1647285173;;;MLB-MUSIC_MOVIES_AND_TV_SERIES;MLB1228;Vinil - Mercedes Sosa - La Manancy;;Vinil - Mercedes Sosa - La Manancy;Físico;;
